STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME_DAYMIN,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_REPORTED_AGE,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT
19,15,1,1,2,2,13,5.4,160,160
12,1323,3,3,3,3,15,5.8,170,150
12,910,1,1,5,5,23,5.3,157.5,140
12,1350,1,1,7,7,20,5.7,167.5,140
12,1345,0,0,2,2,18,5.9,172.5,180
19,1183,2,2,11,11,25,5.8,170,160
26,1175,1,1,5,5,17,5.7,167.5,150
26,1175,1,1,5,5,31,5.7,167.5,150
26,0,1,1,5,5,26,5.8,170,160
12,5,1,1,15,15,22,5.11,177.5,170
26,1437,1,1,5,5,32,5.6,165,140
19,220,1,1,10,10,23,5.6,165,130
26,1050,1,1,10,10,16,5.8,170,150
5,805,1,1,10,10,31,5.8,170,170
19,767,0,0,5,5,25,5.7,167.5,180
26,180,1,1,5,5,27,5.8,170,210
19,1302,1,1,0,0,18,6,180,180
26,650,10,10,20,20,24,6.3,187.5,250
19,767,4,4,2,2,21,5.11,177.5,150
26,1016,2,2,6,6,39,6.2,185,190
26,1010,1,1,2,2,25,5.9,172.5,165
26,1010,2,2,1,1,20,6,180,185
19,625,1,1,6,6,45,5.1,152.5,210
12,1350,0,0,5,5,15,5.9,172.5,150
12,1350,0,0,5,5,16,5.8,170,140
12,1350,0,0,5,5,16,5.8,170,150
12,1099,1,1,18,18,30,5.11,177.5,160
19,26,1,1,6,6,47,5.7,167.5,165
5,537,5,5,1,1,41,5.11,177.5,180
12,1195,15,11,1,1,26,5.2,155,170
26,970,1,1,50,50,20,5.1,152.5,150
5,1230,2,2,5,5,16,5.9,172.5,150
12,1320,1,1,10,10,26,5.9,172.5,150
26,215,3,3,2,2,28,5.11,177.5,190
26,1377,1,1,5,5,18,5.9,172.5,160
26,773,1,1,40,50,22,5.11,177.5,150
26,1410,1,1,5,5,18,6.2,185,180
26,720,1,1,11,11,33,5.4,160,150
26,1432,1,1,17,17,28,5.1,152.5,175
12,919,1,1,4,4,49,5.7,167.5,170
26,305,1,1,40,50,39,6,180,190
12,603,1,1,11,11,15,5.6,165,145
12,610,1,1,25,25,18,5.11,177.5,195
19,930,4,4,10,10,38,5.5,162.5,160
19,1414,1,1,30,30,20,6.2,185,160
19,760,1,1,1,1,50,5.1,152.5,200
12,360,1,1,20,20,22,6.1,182.5,170
12,360,1,1,20,20,22,5.8,170,150
12,800,2,2,15,15,16,5.6,165,130
26,975,0,0,30,30,16,5.9,172.5,160
26,1385,0,0,5,5,17,6.2,185,160
26,1385,0,0,5,5,17,5.1,152.5,165
26,1385,0,0,5,5,17,6.1,182.5,150
12,51,1,1,15,15,18,5.4,160,120
12,51,1,1,15,15,30,5.9,172.5,190
12,51,1,1,15,15,29,5.7,167.5,160
12,921,1,1,5,5,20,5.8,170,175
13,155,1,1,6,6,28,5.8,170,160
13,320,0,0,10,10,26,5.9,172.5,140
6,325,2,2,20,20,46,5.9,172.5,145
27,965,5,5,8,8,16,5.7,167.5,135
6,1171,2,2,10,10,19,6.1,182.5,190
13,1235,2,2,7,7,33,5.5,162.5,180
27,633,2,2,20,20,25,5.1,152.5,200
13,0,0,0,3,3,23,6,180,180
20,192,1,1,9,9,57,5.7,167.5,180
27,870,1,1,20,20,22,6.2,185,180
6,1069,1,1,3,3,17,5.1,152.5,190
20,1115,2,2,5,5,15,5.8,170,150
20,1115,2,2,5,5,15,5.8,170,150
27,940,1,1,10,10,19,6.3,187.5,180
27,940,1,1,10,10,21,6.2,185,180
27,940,1,1,10,10,19,6,180,200
6,1069,1,1,3,3,19,5.1,152.5,155
27,1150,1,1,5,5,19,5.11,177.5,250
27,1369,1,1,7,7,31,5.5,162.5,160
13,43,1,1,20,20,31,5.1,152.5,175
6,1208,1,1,8,8,20,5.9,172.5,150
6,1208,1,1,8,8,21,5.1,152.5,180
