min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,owned,weight
2,4,10,10,10,2014,6.70029,6.30328,2205,10,4371,1.271
4,8,15,15,15,2016,7.14056,6.30308,1011,9,1722,1.1667
2,5,35,35,35,2014,7.20991,6.29195,910,8,1817,1.9231
2,4,75,40,75,2015,7.17715,6.29006,931,10,1262,2.6047
2,2,45,0,45,2016,7.62728,6.28925,669,0,2954,0
2,3,3000,60,3000,2014,8.39324,6.28761,451,14,1528,3.6667
2,5,90,60,90,2016,7.76643,6.28516,686,14,2216,2.7273
2,4,45,45,45,2015,7.01007,6.2848,1145,10,2034,1.9189
2,4,30,30,30,2016,6.98562,6.28411,1231,10,3375,1.25
2,4,210,150,210,2017,7.79032,6.28366,575,14,1197,2.7812
2,6,15,15,15,2015,7.14379,6.28328,954,8,1527,1.425
2,4,120,60,120,2017,7.6019,6.28232,726,14,1667,2.8462
2,2,30,20,30,2015,7.03081,6.28056,1133,10,2126,1.875
2,4,90,60,90,2017,7.57131,6.27739,650,13,1375,3.1154
2,4,60,45,60,2016,7.49723,6.27388,678,10,818,2.3889
2,4,120,120,120,2016,7.48083,6.27147,683,13,1724,3.1111
3,5,45,30,45,2016,7.03181,6.26856,1220,14,2373,2.1154
2,6,60,45,60,2014,6.88271,6.2675,1339,10,2125,1.5116
2,4,60,60,60,2014,6.86418,6.26609,1327,10,2096,2.859
2,4,30,30,30,2016,6.87912,6.26369,1421,8,2836,1.52
2,2,30,20,30,2015,7.38989,6.26173,742,0,2405,2.9048
2,4,60,45,60,2015,7.20968,6.26044,858,10,1471,2.5517
2,4,30,15,30,2016,6.84764,6.26023,1415,14,2595,1.1786
2,5,90,90,90,2014,6.80853,6.25816,1496,12,2762,2.6375
2,5,75,75,75,2017,7.31123,6.25772,773,13,1274,2.913
2,4,90,30,90,2014,7.07903,6.25749,981,10,1505,2.3455
2,4,75,75,75,2017,7.174,6.25519,930,14,1469,3.1053
2,4,120,60,120,2017,7.82175,6.25439,549,12,1741,2.5625
2,4,30,20,30,2015,6.85107,6.25429,1847,13,5872,1.7547
2,4,60,60,60,2014,7.06133,6.25398,1091,14,1775,2.3056
2,5,30,30,30,2014,6.76705,6.25292,1585,10,2464,2.012
2,4,40,20,40,2015,6.59874,6.24764,3137,13,7904,2.5133
2,6,30,30,30,2017,6.92714,6.24667,1159,8,1922,1.44
2,4,30,30,0,2016,7.12118,6.24605,900,10,1547,2
