Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
2005,0.96,0.12,0.54,0.04,1.66,72,29,8.4,71,3
2002,0.8,0.63,0.0,0.21,1.64,88,18,8.9,18,1
2004,0.54,0.88,0.0,0.22,1.64,83,51,8.5,120,4
2003,1.18,0.34,0.0,0.1,1.63,89,23,8.8,40,1
2004,1.32,0.09,0.0,0.22,1.62,88,29,8.8,35,1
2004,0.79,0.62,0.0,0.21,1.61,77,33,8.7,20,1
2004,1.26,0.12,0.0,0.21,1.59,83,24,7.5,36,1
2001,0.77,0.6,0.0,0.2,1.57,90,18,8.7,24,1
2002,0.98,0.53,0.0,0.06,1.57,55,10,8.6,45,3
2000,0.77,0.6,0.0,0.2,1.56,79,21,6.8,18,3
2006,1.07,0.4,0.0,0.1,1.56,84,32,8.1,41,3
2002,0.76,0.59,0.0,0.2,1.55,71,37,5.7,36,3
2000,0.83,0.44,0.08,0.19,1.54,80,27,8.2,99,3
2005,1.26,0.07,0.0,0.21,1.54,87,25,8.6,47,1
2002,0.36,0.9,0.0,0.27,1.52,38,21,5.0,26,3
2002,1.26,0.05,0.0,0.21,1.51,73,19,7.8,26,1
2007,0.35,0.03,0.0,1.13,1.51,68,10,8.2,27,3
2000,0.66,0.52,0.15,0.17,1.5,76,15,8.9,64,1
2002,0.49,0.78,0.0,0.23,1.5,84,30,8.3,35,4
2000,1.19,0.07,0.05,0.2,1.5,91,25,7.7,7,1
2008,1.22,0.0,0.0,0.27,1.49,67,4,7.0,24,1
2006,0.47,0.37,0.52,0.12,1.48,57,51,6.9,103,3
2005,0.72,0.56,0.0,0.19,1.48,82,19,7.4,20,1
2004,1.08,0.2,0.0,0.2,1.48,85,43,9.0,25,3
2004,0.37,0.47,0.54,0.07,1.45,85,53,8.6,73,4
2004,0.71,0.55,0.0,0.19,1.45,73,42,7.8,70,4
2003,0.54,0.35,0.46,0.1,1.45,71,40,8.3,94,4
2007,0.04,1.08,0.0,0.32,1.44,73,13,7.5,8,2
2004,1.03,0.32,0.0,0.09,1.44,88,30,8.2,20,1
2002,1.16,0.08,0.0,0.19,1.44,91,19,8.6,27,1
2002,0.7,0.54,0.0,0.18,1.42,59,7,7.8,12,3
2004,1.15,0.08,0.0,0.19,1.42,80,36,8.9,45,1
2001,1.19,0.17,0.0,0.05,1.41,91,15,8.4,98,4
2004,0.69,0.54,0.0,0.18,1.41,87,19,8.4,15,1
2002,0.03,1.05,0.02,0.3,1.4,86,25,7.7,24,1
2005,0.24,0.18,0.91,0.06,1.39,69,29,8.8,68,3
2001,0.67,0.53,0.0,0.18,1.38,81,21,8.1,18,3
2008,0.6,0.01,0.0,0.76,1.37,77,12,8.4,16,2
2002,0.67,0.52,0.0,0.17,1.36,73,20,8.9,36,4
2004,0.22,0.05,1.06,0.02,1.35,73,37,8.7,23,3
2002,0.95,0.21,0.01,0.18,1.34,73,19,7.4,23,3
2006,1.22,0.05,0.05,0.01,1.34,74,26,8.4,60,2
2003,0.65,0.51,0.0,0.17,1.34,73,27,8.2,63,4
2004,1.1,0.06,0.0,0.18,1.34,90,28,8.6,51,1
2004,0.65,0.51,0.0,0.17,1.33,57,15,6.5,21,1
2002,1.06,0.08,0.0,0.18,1.32,93,20,7.4,25,1
2005,0.78,0.45,0.0,0.07,1.31,69,25,7.4,25,2
2002,0.64,0.5,0.0,0.17,1.31,61,20,7.3,27,4
2006,1.07,0.04,0.02,0.17,1.3,63,12,6.0,39,1
2005,0.27,0.02,0.0,1.02,1.3,78,22,8.3,6,3
2004,0.63,0.49,0.0,0.16,1.29,75,51,8.6,27,3
2004,0.63,0.49,0.0,0.16,1.28,85,51,8.4,57,3
2003,0.63,0.49,0.0,0.16,1.28,76,47,8.3,136,4
2001,0.62,0.49,0.0,0.16,1.28,89,34,8.9,557,4
2008,0.72,0.03,0.0,0.52,1.27,77,8,8.9,17,2
2002,0.49,0.38,0.26,0.13,1.27,75,35,8.5,60,3
2008,0.49,0.0,0.01,0.75,1.25,68,7,7.4,33,3
2006,1.01,0.04,0.03,0.16,1.25,79,62,8.4,194,4
2003,0.61,0.48,0.0,0.16,1.25,52,37,6.2,106,3
2004,0.52,0.56,0.0,0.17,1.25,87,45,8.6,34,3
2005,0.85,0.03,0.22,0.14,1.24,81,51,8.9,155,3
2001,0.61,0.48,0.0,0.16,1.24,87,29,8.3,90,3
2000,0.24,0.19,0.75,0.06,1.24,78,20,7.7,6,1
2008,0.69,0.0,0.0,0.55,1.24,78,9,6.9,34,3
2001,0.6,0.47,0.0,0.16,1.23,32,6,4.6,29,1
2004,0.6,0.47,0.0,0.16,1.23,57,51,5.5,102,4
2002,0.59,0.46,0.01,0.15,1.22,89,19,7.8,16,1
2006,1.01,0.04,0.0,0.16,1.21,71,30,8.4,12,1
2002,1.03,0.14,0.0,0.04,1.21,86,41,8.6,184,1
2002,0.59,0.46,0.0,0.15,1.2,59,19,5.1,20,3
2004,1.0,0.04,0.0,0.16,1.2,78,37,8.4,16,1
2001,0.59,0.46,0.0,0.15,1.2,92,22,8.5,26,1
2006,0.99,0.04,0.0,0.16,1.19,75,46,8.6,113,4
2005,0.98,0.04,0.0,0.16,1.17,77,43,8.7,70,4
2002,0.57,0.45,0.0,0.15,1.17,70,14,8.8,60,1
2003,0.57,0.45,0.0,0.15,1.17,57,4,8.4,37,3
2006,0.97,0.04,0.0,0.16,1.16,85,19,8.9,53,2
2004,0.57,0.44,0.0,0.15,1.16,70,31,6.3,24,3
2001,0.57,0.44,0.0,0.15,1.16,85,17,8.5,22,1
2001,0.56,0.44,0.0,0.15,1.15,73,15,8.3,30,3
2004,0.56,0.44,0.0,0.15,1.15,43,5,3.4,13,4
2003,0.56,0.44,0.0,0.15,1.15,68,28,9.0,28,1
2003,0.44,0.34,0.25,0.11,1.14,79,33,8.4,38,4
2005,0.78,0.03,0.2,0.13,1.14,91,77,9.1,933,3
2005,0.95,0.04,0.0,0.16,1.14,76,27,9.0,21,2
2001,0.12,0.1,0.88,0.03,1.14,73,15,8.8,32,3
2001,0.55,0.43,0.0,0.14,1.12,57,15,7.6,9,1
2009,0.28,0.3,0.0,0.54,1.12,71,4,2.6,10,3
2007,0.92,0.04,0.0,0.15,1.11,69,50,6.3,31,3
2006,0.05,0.04,0.84,0.16,1.09,77,34,8.1,52,4
2006,0.89,0.03,0.01,0.15,1.09,75,56,8.3,99,4
2002,0.53,0.42,0.0,0.14,1.09,65,32,8.3,33,3
2003,0.53,0.41,0.0,0.14,1.08,88,15,8.9,77,1
2004,0.64,0.34,0.0,0.1,1.08,58,21,6.0,19,3
2006,0.89,0.03,0.0,0.15,1.07,82,14,7.4,83,3
2005,0.74,0.15,0.13,0.05,1.07,86,57,8.4,96,3
2006,0.88,0.04,0.0,0.14,1.06,75,43,8.5,84,4
2002,0.52,0.41,0.0,0.14,1.06,81,25,7.3,14,1
2005,0.52,0.41,0.0,0.14,1.06,89,36,8.7,37,1
2003,0.52,0.41,0.0,0.14,1.06,71,28,8.3,22,3
2002,0.52,0.4,0.0,0.14,1.06,63,9,8.8,10,3
2002,0.51,0.4,0.0,0.13,1.05,89,21,8.0,22,1
2003,0.51,0.4,0.0,0.13,1.04,81,22,8.9,17,1
2006,0.87,0.03,0.0,0.14,1.04,73,25,8.7,6,2
2005,0.86,0.03,0.0,0.14,1.03,79,30,8.4,17,1
2003,0.5,0.39,0.0,0.13,1.03,82,16,8.8,12,1
2004,0.5,0.39,0.0,0.13,1.02,70,29,8.7,29,1
2003,0.49,0.38,0.0,0.13,1.0,51,5,8.0,8,1
2002,0.13,0.1,0.74,0.03,1.0,72,16,9.3,54,3
2000,0.3,0.23,0.38,0.08,0.99,66,20,8.0,35,3
2003,0.47,0.37,0.0,0.12,0.97,85,19,7.6,53,1
2007,0.78,0.03,0.03,0.13,0.97,75,37,7.9,67,4
2002,0.38,0.25,0.26,0.07,0.96,87,41,9.1,174,3
2000,0.47,0.37,0.0,0.12,0.96,85,22,8.1,9,1
2002,0.36,0.28,0.22,0.09,0.96,71,33,7.9,43,4
2004,0.8,0.03,0.0,0.13,0.95,60,8,7.7,11,1
2005,0.36,0.45,0.0,0.14,0.95,87,29,8.6,53,4
2000,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,3
2004,0.79,0.03,0.0,0.13,0.94,70,67,7.4,254,4
2003,0.46,0.36,0.0,0.12,0.94,79,45,8.4,74,4
2006,0.75,0.03,0.04,0.12,0.94,87,69,9.1,293,3
2006,0.78,0.03,0.0,0.13,0.94,83,30,8.9,31,1
2002,0.46,0.36,0.0,0.12,0.93,79,20,6.8,18,1
2007,0.77,0.03,0.0,0.13,0.93,83,25,8.6,19,1
2003,0.45,0.35,0.0,0.12,0.92,59,29,8.7,31,1
2001,0.45,0.35,0.0,0.12,0.92,63,17,3.3,9,1
2002,0.45,0.35,0.0,0.12,0.91,76,23,8.1,12,3
2003,0.35,0.27,0.21,0.09,0.91,63,15,8.9,23,1
2002,0.44,0.35,0.0,0.12,0.9,80,23,7.6,5,1
2004,0.44,0.35,0.0,0.12,0.9,78,36,7.6,9,1
2005,0.75,0.03,0.0,0.12,0.9,90,52,8.8,114,2
2006,0.17,0.13,0.55,0.05,0.9,70,44,8.1,8,1
2007,0.74,0.03,0.01,0.12,0.9,50,14,6.5,28,3
2003,0.44,0.34,0.0,0.11,0.9,68,21,6.6,27,1
2005,0.74,0.03,0.0,0.12,0.89,76,25,8.0,20,4
2005,0.74,0.03,0.0,0.12,0.89,83,29,6.2,16,1
2001,0.44,0.34,0.0,0.11,0.89,85,16,7.5,6,1
2005,0.43,0.34,0.0,0.11,0.88,84,23,8.3,13,1
2004,0.43,0.33,0.0,0.11,0.88,86,25,8.1,18,1
2008,0.73,0.03,0.0,0.12,0.87,68,20,7.2,105,2
2006,0.72,0.03,0.0,0.12,0.87,69,17,7.3,19,3
2005,0.72,0.03,0.0,0.12,0.87,88,37,9.0,37,3
2007,0.11,0.09,0.64,0.03,0.87,55,14,8.2,16,3
2002,0.42,0.33,0.0,0.11,0.86,74,14,8.4,11,3
2003,0.17,0.13,0.51,0.04,0.86,72,15,9.1,39,3
2007,0.31,0.0,0.0,0.53,0.85,65,9,8.0,11,1
2002,0.42,0.32,0.0,0.11,0.85,86,31,8.2,48,1
2000,0.32,0.25,0.2,0.08,0.85,64,17,7.9,31,3
2002,0.41,0.32,0.0,0.11,0.84,62,15,5.3,20,3
2005,0.24,0.16,0.39,0.05,0.84,83,59,8.4,89,3
2004,0.41,0.32,0.0,0.11,0.84,86,14,8.1,10,1
2000,0.24,0.19,0.34,0.06,0.83,75,17,8.8,24,3
2005,0.69,0.03,0.0,0.11,0.83,83,59,8.8,130,2
2006,0.69,0.03,0.0,0.11,0.82,81,29,8.2,33,3
2008,0.34,0.04,0.36,0.08,0.82,90,47,8.9,634,4
2004,0.4,0.31,0.0,0.1,0.81,70,34,8.2,17,4
2005,0.67,0.03,0.0,0.11,0.81,75,31,4.4,166,3
2005,0.03,0.02,0.74,0.01,0.8,75,58,8.2,73,4
2004,0.39,0.31,0.0,0.1,0.8,80,39,8.3,43,4
2006,0.66,0.02,0.0,0.11,0.79,73,31,8.6,61,3
2008,0.61,0.0,0.0,0.18,0.79,71,11,6.3,15,3
2000,0.28,0.22,0.23,0.07,0.79,78,23,8.4,19,3
