STOP_FRISK_DATE,STOP_FRISK_DATE_DAYNO,STOP_FRISK_TIME,STOP_FRISK_TIME_DAYMIN,MONTH2,DAY2,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,OBSERVED_DURATION_MINUTES_EDITED,SUSPECTED_CRIME_DESCRIPTION,SUSPECTED_CRIME_DESCRIPTION_EDITED,STOP_DURATION_MINUTES,STOP_DURATION_MINUTES_EDITED,SUSPECT_ARREST_OFFENSE,SUSPECT_ARREST_OFFENSE_EDITED,OFFICER_IN_UNIFORM_FLAG,WEAPON_FOUND_FLAG,DEMEANOR_OF_PERSON_STOPPED,DEMEANOR_OF_PERSON_STOPPED_TOP10,SUSPECT_REPORTED_AGE,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_HEIGHT_EDITED,SUSPECT_WEIGHT,SUSPECT_OTHER_DESCRIPTION,SUSPECT_OTHER_DESCRIPTION_TOP10,STOP_LOCATION_BORO_NAME
03-03-2019,62,16:02:00,962,March,Sunday,POM,1,1,CPW,CPW,1,1,(null),NONE,Y,N,AGGRESSIVE,NONE,16,BLACK,5.9,172.5,200,(null),NONE,BROOKLYN
03-03-2019,62,16:20:00,980,March,Sunday,POM,5,5,CPW,CPW,2,2,(null),NONE,Y,N,CALM,CALM,15,BLACK,5.4,160,150,(null),NONE,BROOKLYN
03-03-2019,62,16:20:00,980,March,Sunday,POM,5,5,CPW,CPW,2,2,(null),NONE,Y,N,CALM,CALM,13,BLACK,5.4,160,120,(null),NONE,BROOKLYN
17-03-2019,76,16:55:00,1015,March,Sunday,POM,1,1,ASSAULT,ASSAULT,5,5,(null),NONE,Y,N,UPSET,UPSET,18,BLACK,5.5,162.5,200,N/A,NONE,BROOKLYN
10-03-2019,69,23:49:00,1429,March,Sunday,POM,1,1,PETIT LARCENY,PETIT LARCENY,30,30,(null),NONE,Y,N,SCARED,NONE,51,BLACK,5.7,167.5,155,BLACK WAIST LENGTH JACKET,JACKET,BROOKLYN
31-03-2019,90,03:40:00,220,March,Sunday,POM,1,1,CPW,CPW,3,3,(null),NONE,Y,N,NORMAL,NORMAL,18,BLACK,5.1,152.5,145,(null),NONE,BROOKLYN
17-03-2019,76,01:29:00,89,March,Sunday,POM,1,1,CPW,CPW,40,40+,(null),NONE,Y,N,ANNOYED,ANNOYED,18,BLACK,5.1,152.5,220,(null),NONE,BROOKLYN
17-03-2019,76,01:29:00,89,March,Sunday,POM,1,1,CPW,CPW,40,40+,(null),NONE,Y,N,ANNOYED,ANNOYED,17,BLACK,5.11,177.5,185,(null),NONE,BROOKLYN
24-03-2019,83,17:30:00,1050,March,Sunday,POM,1,1,BURGLARY,BURGLARY,7,7,ASSAULT,ASSAULT,Y,N,NERVOUS. SWEATING,NERVOUS,23,BLACK,6.2,185,190,"BLUE TRACK JACKET WITYH STRIPES ON SLEEVES, BLACK TRACK PANTS, WHITE/BLOOD STAIN",JACKET,QUEENS
24-03-2019,83,16:20:00,980,March,Sunday,POM,1,1,ROBBERY,ROBBERY,12,12,ROBBERY,ROBBERY,Y,N,CALM,CALM,21,BLACK,5.5,162.5,130,(null),NONE,QUEENS
24-03-2019,83,15:00:00,900,March,Sunday,POM,2,2,BURGLARY,BURGLARY,10,10,ASSAULT,ASSAULT,Y,N,EDP/INTOXICATED,NONE,18,WHITE HISPANIC,5.7,167.5,150,BLACK YANKEE CAP,NONE,QUEENS
31-03-2019,90,19:15:00,1155,March,Sunday,DTS,1,1,ASSAULT,ASSAULT,5,5,ASSAULT,ASSAULT,N,N,COMPLIANT,NONE,40,WHITE HISPANIC,5.5,162.5,110,(null),NONE,QUEENS
17-03-2019,76,08:51:00,531,March,Sunday,POM,1,1,GRAND LARCENY,GRAND LARCENY,10,10,(null),NONE,Y,N,COOPERATIVE,COOPERATIVE,25,WHITE,5.11,177.5,220,N/A,NONE,QUEENS
24-03-2019,83,05:30:00,330,March,Sunday,POM,1,1,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,10,10,(null),NONE,Y,N,CALM,CALM,20,WHITE,5.11,177.5,170,BROWN LEATHER JACKET,JACKET,QUEENS
17-03-2019,76,02:57:00,177,March,Sunday,POM,30,10+,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,12,12,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,N,N,COMBATIVE AND ANNOYED,ANNOYED,26,WHITE HISPANIC,5.4,160,159,(null),NONE,QUEENS
17-03-2019,76,02:57:00,177,March,Sunday,POM,30,10+,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,12,12,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,N,N,COMBATIVE AND ANNOYED,ANNOYED,18,WHITE HISPANIC,5.4,160,150,(null),NONE,QUEENS
17-03-2019,76,02:57:00,177,March,Sunday,POM,30,10+,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,12,12,CRIMINAL MISCHIEF,CRIMINAL MISCHIEF,N,N,COMBATIVE AND ANNOYED,ANNOYED,21,WHITE HISPANIC,5.1,152.5,222,(null),NONE,QUEENS
